abbot	<dt>:the superior of a monastery for men</dt>
Crooked	<dt>:not straight <vi>a <it>crooked</it> road</vi> <vi>your tie is <it>crooked</it></vi></dt> <dt>:<sx>dishonest</sx> <vi>a <it>crooked</it> election</vi> <vi><it>crooked</it> politicians</vi></dt>
crucible	<dt>:a vessel of a very refractory material (as porcelain) used for melting and calcining a substance that requires a high degree of heat</dt> <dt>:a severe test</dt> <dt>:a place or situation in which concentrated forces interact to cause or influence change or development <vi>conditioned by having grown up within the <it>crucible</it> of Chinatown <aq>Tom Wolfe</aq></vi></dt>
cuffe	
curlicue	<dt>:a fancifully curved or spiral figure :<sx>flourish</sx></dt>
cursorily	<dt>:rapidly and often superficially performed or produced :<sx>hasty</sx> <vi>a <it>cursory</it> glance</vi></dt>
custard	<dt>:a pudding-like usually sweetened mixture made with eggs and milk</dt>
daffodil	<dt>:any of various perennial bulbous herbs (genus <it>Narcissus</it>) of the amaryllis family</dt> <dt>:one whose flowers have a large corona elongated into a trumpet <dx>compare <dxt>jonquil</dxt> <dxt>narcissus</dxt></dx></dt>
daintily	<dt>:tasting good :<sx>tasty</sx></dt>  <dt>:attractively prepared and served</dt> <dt>:marked by delicate or diminutive beauty, form, or grace <vi><it>dainty</it> teacups</vi></dt> <dt>:<sx>chary</sx> <sx>reluctant</sx></dt> <dt>:marked by fastidious discrimination or finicky taste</dt>  <dt>:showing avoidance of anything rough</dt>
dais	<dt>:a raised platform (as in a hall or large room)</dt>
dalliance	<dt> :an act of <fw>dallying</fw>: as</dt>  <dt>:<sx>play</sx></dt> <dt>:amorous play</dt>  <dt>:frivolous action :<sx>trifling</sx> </dt>
dally	<dt>:to act playfully</dt> <dt>:to play amorously</dt>  <dt>:to deal lightly :<sx>toy</sx> <vi>accused him of <it>dally</it><it>ing</it> with a serious problem</vi></dt> <dt>:to waste time</dt>  <dt>:<sx>linger</sx> <sx>dawdle</sx></dt>
dank	<dt>:unpleasantly moist or wet <vi>a <it>dank</it> basement</vi></dt>
daub	<dt>:to cover or coat with soft adhesive matter :<sx>plaster</sx></dt> <dt>:to coat with a dirty substance</dt> <dt>:to apply coloring material crudely to</dt>  <dt>:to apply (as paint) crudely</dt><dt>:to put on a false exterior</dt> <dt>:to apply colors crudely</dt>
dawdle	<dt>:to spend time idly</dt> <dt>:to move lackadaisically</dt><dt>:to spend fruitlessly or lackadaisically <vi><it>dawdled</it> the day away</vi></dt>
decussate	<dt>:<sx>intersect</sx> <sx>cross</sx></dt>
deftly	<dt>:characterized by facility and skill</dt>
deluge	<dt>:an overflowing of the land by water</dt>  <dt>:a drenching rain</dt> <dt>:an overwhelming amount or number <vi>received a <it>deluge</it> of offers</vi></dt>
demijohn	<dt>:a large narrow-necked bottle usually enclosed in wickerwork</dt>
demur	<dt>:<sx>delay</sx> <sx>hesitate</sx></dt> <dt>:to file a <fw>demurrer</fw></dt> <dt>:to take exception :<sx>object</sx> <un>often used with <it>to</it> or <it>at</it></un></dt>
demure	<dt>:<sx>reserved</sx> <sx>modest</sx></dt> <dt>:<d_link>affectedly</d_link> modest, reserved, or serious :<sx>coy</sx></dt>
denude	<dt>:to deprive of something important</dt> <dt>:to strip of all covering or surface layers</dt>  <dt>:to lay bare by erosion</dt>  <dt>:to strip (land) of forests</dt>
derision	<dt>:the use of <d_link>ridicule</d_link> or <d_link>scorn</d_link> to show contempt</dt>  <dt>:a state of being laughed at or ridiculed :a state of being <fw>derided</fw></dt> <dt>:an object of ridicule or scorn</dt>
derisive	<dt>:expressing or causing <fw>derision</fw> <vi><it>derisive</it> laughter</vi></dt>
desultory	<dt>:marked by lack of definite plan, regularity, or purpose <vi>a dragged-out ordeal of&#8230;<it>desultory</it> shopping <aq>Herman Wouk</aq></vi></dt> <dt>:not connected with the main subject</dt> <dt>:disappointing in progress, performance, or quality <vi>a <it>desultory</it> fifth place finish</vi> <vi>a <it>desultory</it> wine</vi></dt>
din	<dt>:a loud continued noise</dt> <dt>:a welter of discordant sounds</dt> <dt>:a situation or condition resembling a din</dt>
dingy	<dt>:<sx>dirty</sx> <sx>unclean</sx></dt> <dt>:<sx>shabby</sx> <sx>squalid</sx></dt>
diocesan	<dt>:a bishop having jurisdiction over a <fw>diocese</fw></dt>
diocese	<dt>:the territorial jurisdiction of a bishop</dt>
discord	<dt>:lack of agreement or harmony (as between persons, things, or ideas)</dt>  <dt>:active quarreling or conflict resulting from discord among persons or factions :<sx>strife</sx></dt> <dt>:a combination of musical sounds that strikes the ear harshly</dt>  <dt>:<sx>dissonance</sx></dt>  <dt>:a harsh or unpleasant sound</dt>
dishevelled	<dt>:to throw into disorder or disarray</dt>
disingenuous	<dt>:lacking in candor</dt> <dt>:giving a false appearance of simple <d_link>frankness</d_link> :<sx>calculating</sx></dt>
dither	<dt>:<sx>shiver</sx> <sx>tremble</sx></dt> <dt>:to act nervously or indecisively :<sx>vacillate</sx></dt>
doddering	<dt>:<sx>feeble</sx> <sx>senile</sx></dt>
dolt	<dt>:a stupid person</dt>
donne	<dt>John 1572&#8211;1631 Eng. poet &amp; clergyman</dt>
dotage	<dt>:a state or period of senile decay marked by decline of mental poise and alertness</dt>
doublet	<dt>:a man's close-fitting jacket worn in Europe especially during the Renaissance</dt> <dt> :something consisting of two identical or similar parts: as</dt>  <dt>:a lens consisting of two components</dt> <dt>:a handheld magnifier consisting of two lenses in a metal cylinder</dt>  <dt>:a spectrum line having two close components</dt>  <dt>:a domino with the same number of spots on each end </dt> <dt> :a set of two identical or similar things: as</dt>  <dt>:two thrown dice with the same number of spots on the upper face</dt>  <dt>:one of nine pairs of microtubules found in cilia and flagella </dt> <dt>:one of a pair</dt> <dt>:one of two or more words (as <it>guard</it> and <it>ward</it>) in the same language derived by different routes of transmission from the same source</dt>
dour	<dt>:<sx>stern</sx> <sx>harsh</sx></dt> <dt>:<sx>obstinate</sx> <sx>unyielding</sx></dt> <dt>:<sx>gloomy</sx> <sx>sullen</sx></dt>
dowager	<dt>:a widow holding property or a title from her deceased husband</dt> <dt>:a dignified elderly woman</dt>
doyen	<dt>:the senior member of a body or group</dt>  <dt>:a person considered to be knowledgeable or uniquely skilled as a result of long experience in some field of endeavor</dt> <dt>:the oldest example of a category</dt>
drab	<dt>:<sx>slattern</sx></dt> <dt>:<sx>prostitute</sx></dt>
dregs	<dt>:sediment contained in a liquid or precipitated from it :<sx>lees</sx> <un>usually used in plural</un></dt> <dt>:the most undesirable part <un>usually used in plural <vi>the <it>dreg</it><it>s</it> of society</vi></un></dt> <dt>:the last remaining part :<sx>vestige</sx> <un>usually used in plural <vi>the last <it>dreg</it><it>s</it> of fuel</vi></un></dt>
drivel	<dt>:to let saliva dribble from the mouth :<sx>slaver</sx></dt> <dt>:to talk stupidly and carelessly</dt>
drizzle	<dt>:a fine misty rain</dt> <dt>:something that is <fw>drizzled</fw> <vi>a <it>drizzle</it> of syrup</vi></dt>
droll	<dt>:having a humorous, whimsical, or odd quality <vi>his dignified presence decorated our <it>droll</it> little quarters <aq>Gwendolyn Brooks</aq></vi></dt>
duffel	<dt>:a coarse heavy woolen material with a thick nap</dt> <dt>:transportable personal belongings, equipment, and supplies</dt> <dt>:<sx>duffel bag</sx></dt> <dt>:<sx>duffle coat</sx></dt>
dwindle	<dt>:to become steadily less :<sx>shrink</sx></dt><dt>:to make steadily less</dt>
ebb	<dt>:the reflux of the tide toward the sea</dt> <dt>:a point or condition of decline <vi>our spirits were at a low <it>ebb</it></vi></dt>
eddy	<dt>:a current of water or air running contrary to the main current</dt> <dt>:a circular current :<sx>whirlpool</sx></dt>  <dt>:something moving similarly</dt> <dt>:a contrary or circular current (as of thought or policy)</dt>
effigy	<dt>:an image or representation especially of a person</dt> <dt>:a crude figure representing a hated person</dt><dt>:publicly in the form of an effigy <vi>the football coach was burned <it>in effigy</it></vi></dt>
egress	<dt>:the action or right of going or coming out</dt> <dt>:a place or means of going out :<sx>exit</sx></dt>
eloped	<dt>:to slip away :<sx>escape</sx> <vi>might have mistaken him for &#8230; some scarecrow <it>eloped</it> from a cornfield <aq>Washington Irving</aq></vi></dt> <dt>:to run away from one's husband with a lover</dt>  <dt>:to run away secretly with the intention of getting married usually without parental consent</dt>
embankment	<dt>:a raised structure (as of earth or gravel) used especially to hold back water or to carry a roadway</dt> <dt>:the action of <fw>embanking</fw></dt>
emergent	<dt>:arising unexpectedly</dt>  <dt>:calling for prompt action :<sx>urgent</sx> <vi><it>emergent</it> danger</vi></dt> <dt>:rising out of or as if out of a fluid <vi><it>emergent</it> coastal islands</vi></dt>  <dt>:rooted in shallow water and having most of its vegetative growth above water <vi>an <it>emergent</it> plant</vi></dt> <dt>:arising as a natural or logical consequence</dt> <dt>:newly formed or prominent <vi><it>emergent</it> nations</vi></dt>
emetic	<dt>:an agent that induces vomiting</dt>
enamel	<dt>:to cover, inlay, or decorate with enamel</dt> <dt>:to beautify with a colorful surface</dt> <dt>:to form a glossy surface on (as paper, leather, or cloth)</dt>
encyclical	<dt>:addressed to all the individuals of a group :<sx>general</sx></dt>
endowed	<dt>:to furnish with an income</dt> <dt>:to make a grant of money providing for the continuing support or maintenance of <vi><it>endow</it> a hospital</vi></dt> <dt>:to furnish with a dower</dt> <dt>:to provide with something freely or naturally <vi><it>endow</it><it>ed</it> with a good sense of humor</vi></dt>
ennui	<dt>:a feeling of <d_link>weariness</d_link> and dissatisfaction :<sx>boredom</sx></dt>
ensconce	<dt>:<sx>shelter</sx> <sx>conceal</sx> <vi><it>ensconced</it> themselves within the protection of three great elms <aq>Mark Twain</aq></vi></dt> <dt>:<sx>establish</sx> <sx>settle</sx> <vi><it>ensconced</it> in a new job</vi></dt>
entreaty	<dt>:an act of <fw>entreating</fw> :<sx>plea</sx></dt>
episteme	
equanimity	<dt>:evenness of mind especially under stress <vi>nothing could disturb his <it>equanimity</it></vi></dt> <dt>:right <d_link>disposition</d_link> :<sx>balance</sx> <vi>physical <it>equanimity</it></vi></dt>
equine	<dt>:of, relating to, or resembling a horse or the horse family</dt>
equipoise	<dt>:a state of <fw>equilibrium</fw></dt> <dt>:<sx>counterbalance</sx></dt>
erstwhile	<dt>:in the past :<sx>formerly</sx> <vi>cultures, <it>erstwhile</it> unknown to each other <aq>Robert Plank</aq></vi></dt>
Eschewing	<dt>:to avoid habitually especially on <d_link>moral</d_link> or <d_link>practical</d_link> grounds :<sx>shun</sx></dt>
expound	<dt>:to set forth :<sx>state</sx></dt>  <dt>:to defend with argument</dt> <dt>:to explain by setting forth in careful and often elaborate detail <vi><it>expound</it> a law</vi></dt><dt>:to make a statement :<sx>comment</sx></dt>
fare	<dt>:<sx>go</sx> <sx>travel</sx></dt> <dt>:<sx>get along</sx> <sx>succeed</sx> <vi>how did you <it>fare</it> on your exam?</vi></dt> <dt>:<sx>eat</sx> <sx>dine</sx></dt>
fascines	<dt>:a long bundle of sticks of wood bound together and used for such purposes as filling ditches and making revetments for riverbanks</dt>
fawn	<dt>:to show affection <un>used especially of a dog</un></dt> <dt>:to court favor by a cringing or flattering manner</dt>
fervently	<dt>:very hot :<sx>glowing</sx></dt> <dt>:exhibiting or marked by great intensity of feeling :<sx>zealous</sx> <vi><it>fervent</it> prayers</vi></dt>
flabby	<dt>:lacking resilience or firmness :<sx>flaccid</sx></dt> <dt>:weak and ineffective :<sx>feeble</sx></dt>
flake	<dt>:a small loose mass or bit <vi><it>flake</it><it>s</it> of snow</vi></dt> <dt>:a thin flattened piece or layer :<sx>chip</sx></dt> <dt>:<sx>cocaine</sx></dt> <dt>:<sx>flake tool</sx></dt>
flare	<dt>:a fire or blaze of light used especially to signal, illuminate, or attract attention</dt> <dt>:a device or composition used to produce such a flare</dt> <dt>:an unsteady glaring light</dt>  <dt>:<sx>solar flare</sx></dt> <dt>:a sudden increase and decrease in the brightness of a star often amounting to a difference of several magnitudes</dt> <dt>:a sudden outburst (as of excitement or anger)</dt>  <dt>:<sx>flare-up <sxn>3</sxn></sx></dt> <dt>:a spreading outward</dt> <dt>:a place or part that spreads</dt>  <dt>:an area of skin flush</dt> <dt>:light resulting from reflection (as between lens surfaces) or an effect of this light (as a fogged or dense area in a photographic negative)</dt> <dt>:a short pass in football thrown to a back who is running toward the sideline</dt>  <dt>:a weakly hit fly ball in baseball <vi>a <it>flare</it> into short right field</vi></dt> <dt>:pants that flare toward the bottom</dt>
fleece	<dt>:the coat of wool covering a wool-bearing animal (as a sheep)</dt>  <dt>:the wool obtained from a sheep at one shearing</dt> <dt>:any of various soft or woolly coverings</dt>  <dt>:a soft bulky deep-piled knitted or woven fabric used chiefly for clothing</dt>
fleeced	<dt>:covered with or as if with a <fw>fleece</fw></dt> <dt>:having a soft nap</dt>
fléchette	<dt>:a small dart-shaped projectile that is clustered in an explosive warhead, dropped as a missile from an airplane, or fired from a handheld gun</dt>
fling	<dt>:to move in a brusque or headlong manner <vi><it>flung</it> out of the room in a rage</vi></dt> <dt>:to kick or plunge vigorously</dt> <dt>:<sx>caper</sx></dt><dt>:to throw forcefully, impetuously, or casually <vi><it>flung</it> herself down on the sofa</vi> <vi>clothes were <it>flung</it> on the floor</vi></dt>  <dt>:to cast as if by throwing <vi><it>flung</it> off all restraint</vi></dt> <dt>:to place or send suddenly and unceremoniously <vi>was arrested and <it>flung</it> into prison</vi></dt> <dt>:to give unrestrainedly <vi><it>flung</it> himself into music</vi></dt>
florid	<dt>:covered with flowers</dt>  <dt>:very flowery in style :<sx>ornate</sx> <vi><it>florid</it> prose</vi> <vi><it>florid</it> declamations</vi></dt> <dt>:having a florid style <vi>a <it>florid</it> writer</vi></dt>  <dt>:elaborately decorated <vi>a <it>florid</it> interior</vi></dt> <dt>:tinged with red :<sx>ruddy</sx> <vi>a <it>florid</it> complexion</vi></dt>  <dt>:marked by emotional or sexual fervor <vi>a <it>florid</it> secret life</vi> <vi>a <it>florid</it> sensibility</vi></dt> <dt>:<sx>healthy</sx></dt> <dt>:fully developed :manifesting a complete and typical clinical syndrome <vi>the <it>florid</it> stage of a disease</vi></dt>
flout	<dt>:to treat with contemptuous disregard :<sx>scorn</sx> <vi><it>flout</it><it>ing</it> the rules</vi></dt><dt>:to indulge in scornful behavior</dt>
foal	<dt>:a young animal of the horse family</dt> <dt>:one under one year</dt><dt>:<sx>pregnant <sxn>4</sxn></sx></dt>
foible	<dt>:the part of a sword or foil blade between the middle and point</dt> <dt>:a minor flaw or shortcoming in character or behavior :<sx>weakness</sx> <vi>admired their teacher despite his <it>foible</it><it>s</it></vi></dt>
foreigners	<dt>:a person belonging to or owing allegiance to a <fw>foreign</fw> country</dt> <dt>:one not native to a place or community :<sx>stranger <sxn>1c</sxn></sx></dt>
forlorn	<dt>:<sx>bereft</sx> <sx>forsaken</sx> <vi>left quite <it>forlorn</it> of hope</vi></dt>  <dt>:sad and lonely because of <d_link>isolation</d_link> or desertion :<sx>desolate</sx> <vi>a <it>forlorn</it> landscape</vi></dt> <dt>:being in poor condition :<sx>miserable</sx> <sx>wretched</sx> <vi><it>forlorn</it> tumbledown buildings</vi></dt> <dt>:nearly hopeless <vi>a <it>forlorn</it> attempt</vi></dt>
forsooth	<dt>:in truth :<sx>indeed</sx> <un>often used to imply contempt or doubt</un></dt>
fowl	<dt>:a bird of any kind <dx>compare <dxt>waterfowl</dxt> <dxt>wildfowl</dxt></dx></dt> <dt>:a cock or hen of the domestic chicken (<it>Gallus gallus</it>)</dt> <dt>:an adult hen</dt>  <dt>:any of several domesticated or wild gallinaceous birds <dx>compare <dxt>guinea fowl</dxt> <dxt>jungle fowl</dxt></dx></dt> <dt>:the meat of <fw>fowls</fw> used as food</dt>
frolic	<dt>:full of fun :<sx>merry</sx></dt>
frolicky	
froth	<dt>:bubbles formed in or on a liquid :<sx>foam</sx></dt>  <dt>:a foamy slaver sometimes accompanying disease or exhaustion</dt> <dt>:something resembling froth (as in being unsubstantial, worthless, or light and airy)</dt>
frothy	<dt>:full of or consisting of <fw>froth</fw></dt> <dt>:gaily frivolous or light in content or treatment :<sx>insubstantial</sx> <vi>a <it>frothy</it> comedy</vi></dt>  <dt>:made of light thin material</dt>
frowne	
fugue	<dt>:a musical composition in which one or two themes are repeated or imitated by successively entering voices and contrapuntally developed in a continuous interweaving of the voice parts</dt>  <dt>:something that resembles a fugue especially in interweaving repetitive elements</dt> <dt>:a disturbed state of consciousness in which the one affected seems to perform acts in full awareness but upon recovery cannot recollect the acts performed</dt>
funnel	<dt>:a utensil that is usually a hollow cone with a tube extending from the smaller end and that is designed to catch and direct a downward flow</dt>  <dt>:something shaped like a funnel</dt> <dt>:a stack or flue for the escape of smoke or for ventilation (as on a ship)</dt>
fur	<dt>:to cover, line, trim, or clothe with fur</dt> <dt>:to coat or clog as if with fur</dt> <dt>:to apply furring to</dt><dt>:to become coated or clogged as if with fur</dt>
furrow	<dt>:a trench in the earth made by a plow</dt>  <dt>:plowed land :<sx>field</sx></dt> <dt> :something that resembles the track of a plow: as</dt>  <dt>:a marked narrow depression :<sx>groove</sx></dt>  <dt>:a deep wrinkle <vi><it>furrow</it><it>s</it> in his brow</vi> </dt>
furtively	<dt>:done by <d_link>stealth</d_link> :<sx>surreptitious</sx></dt>  <dt>:expressive of stealth :<sx>sly</sx> <vi>had a <it>furtive</it> look about him</vi></dt> <dt>:obtained <d_link>underhandedly</d_link> :<sx>stolen</sx></dt>
fusty	<dt>:impaired by age or dampness :<sx>moldy</sx></dt> <dt>:saturated with dust and stale odors :<sx>musty</sx></dt> <dt>:rigidly old-fashioned or reactionary</dt>
gabled	<dt>:the vertical triangular end of a building from cornice or eaves to ridge</dt>  <dt>:the similar end of a gambrel roof</dt>  <dt>:the end wall of a building</dt> <dt>:a triangular part or structure</dt>
gaggle	<dt>:<sx>flock</sx></dt> <dt>:a flock of geese when not in flight <dx>compare <dxt>skein</dxt></dx></dt> <dt>:a group, aggregation, or cluster lacking organization <vi>a <it>gaggle</it> of reporters and photographers</vi></dt> <dt>:an indefinite number <vi>participated in a <it>gaggle</it> of petty crimes</vi></dt>
gale	<dt> :a strong current of air:</dt>  <dt>:a wind from 32 to 63 miles per hour (about 51 to 102 kilometers per hour)</dt>  <dt>:<sx>fresh gale</sx> <dx>see <dxt>beaufort scale <dxn>table</dxn></dxt></dx> </dt>  <dt>:<sx>breeze</sx></dt> <dt>:an emotional outburst <vi><it>gale</it><it>s</it> of laughter</vi></dt>
gall	<dt>:<sx>bile</sx></dt> <dt>:bile obtained from an animal and used in the arts or medicine</dt>  <dt>:something bitter to endure</dt>  <dt>:bitterness of spirit :<sx>rancor</sx></dt> <dt>:brazen boldness coupled with impudent assurance and insolence</dt>
galling	<dt>:markedly irritating :<sx>vexing</sx> <vi>a most <it>galling</it> defeat</vi></dt>
gantry	<dt>:a frame for supporting barrels</dt> <dt> :a frame structure raised on side supports so as to span over or around something: as</dt>  <dt>:a platform made to carry a traveling crane and supported by towers or side frames running on parallel tracks</dt> <dt>:a movable structure with platforms at different levels used for erecting and servicing rockets before launching</dt>  <dt>:a structure spanning several railroad tracks and displaying signals for each </dt>
garish	<dt>:clothed in vivid colors</dt> <dt>:excessively or disturbingly vivid <vi><it>garish</it> colors</vi> <vi><it>garish</it> imagery</vi></dt>  <dt>:offensively or distressingly bright :<sx>glaring</sx></dt> <dt>:tastelessly showy :<sx>flashy</sx></dt>
garland	<dt>:a circular or spiral arrangement of intertwined material (as flowers or leaves)</dt> <dt>:<sx>anthology</sx> <sx>collection</sx></dt>
garrote	<dt>:a method of execution by strangulation</dt>  <dt>:the apparatus used</dt> <dt>:an implement (as a wire with a handle at each end) for strangulation</dt>
garrulous	<dt>:given to prosy, rambling, or tedious <d_link>loquacity</d_link> :pointlessly or annoyingly talkative</dt> <dt>:<sx>wordy <sxn>1</sxn></sx> <vi><it>garrulous</it> speeches</vi></dt>
gaudy	<dt>:ostentatiously or tastelessly ornamented</dt> <dt>:marked by extravagance or sometimes tasteless showiness :<sx>outlandish</sx> <vi><it>gaudy</it> lies</vi> <vi><it>gaudy</it> claims</vi></dt> <dt>:<sx>exceptional</sx> <vi>a <it>gaudy</it> batting average</vi></dt>
gaunt	<dt>:excessively thin and angular <vi>a long <it>gaunt</it> face</vi></dt> <dt>:<sx>barren</sx> <sx>desolate</sx></dt>
gawk	<dt>:a clumsy stupid person :<sx>lout</sx></dt>
gawped	<dt>:<sx>gawk</sx></dt>
genial	<dt>:of or relating to marriage or generation <vi>the <it>genial</it> bed <aq>John Milton</aq></vi></dt> <dt>:<sx>inborn</sx> <sx>native</sx></dt> <dt>:favorable to growth or comfort :<sx>mild</sx> <vi><it>genial</it> sunshine</vi></dt>  <dt>:marked by or diffusing sympathy or friendliness <vi>your <it>genial</it> host</vi></dt> <dt>:displaying or marked by <fw>genius</fw></dt>
genuflect	<dt>:to bend the knee</dt> <dt>:to touch the knee to the floor or ground especially in worship</dt> <dt>:to be servilely obedient or respectful</dt>
gibbet	<dt>:<sx>gallows <sxn>1a</sxn></sx></dt> <dt>:an upright post with a projecting arm for hanging the bodies of executed criminals as a warning</dt>
gilt	<dt>:covered with gold or gilt :of the color of gold</dt>
gird	<dt>:to encircle or bind with a flexible band (as a belt)</dt>  <dt>:to make fast (as a sword by a belt or clothing with a cord)</dt>  <dt>:<sx>surround</sx></dt> <dt>:<sx>provide</sx> <sx>equip</sx></dt> <dt>:to invest with the sword of knighthood</dt> <dt>:to prepare (oneself) for action</dt><dt>:to prepare for action</dt><dt>:to prepare for action :muster up one's resources</dt>
glade	<dt>:an open space surrounded by woods</dt>
glanders	<dt>:a contagious and destructive disease especially of horses caused by a bacterium (<it>Pseudomonas mallei</it> syn. <it>Actinobacillus mallei</it>) and characterized by caseating nodular lesions especially on the respiratory mucosae and lungs that tend to break down and form ulcers</dt>
glisten	<dt>:to give off a sparkling or lustrous reflection of or as if of a moist or polished surface</dt>
gloat	<dt>:to look or glance admiringly or amorously</dt> <dt>:to observe or think about something with triumphant and often malicious satisfaction, gratification, or delight <vi><it>gloat</it> over an enemy's misfortune</vi></dt>
glower	<dt>:to look or stare with sullen annoyance or anger</dt>
gnarled	<dt>:full of knots or <fw>gnarls</fw> :<sx>knotty</sx> <vi><it>gnarled</it> hands</vi></dt> <dt>:crabbed in disposition, aspect, or character</dt>
gnaw	<dt>:to bite or chew on with the teeth</dt> <dt>:to wear away by persistent biting or nibbling <vi>a dog <it>gnaw</it><it>ing</it> a bone</vi></dt>  <dt>:to make by <fw>gnawing</fw> <vi>rats <it>gnaw</it><it>ed</it> a hole</vi></dt> <dt>:to be a source of vexation to :<sx>plague</sx> <vi>anxiety always <it>gnaw</it><it>ing</it> him</vi></dt>  <dt>:to affect like gnawing <vi>hunger <it>gnaw</it><it>ing</it> her vitals</vi></dt> <dt>:<sx>erode</sx> <sx>corrode</sx></dt><dt>:to bite or nibble persistently <vi><it>gnaw</it><it>ing</it> at his underlip</vi></dt> <dt>:to produce an effect of or as if of gnawing <vi>waves <it>gnaw</it><it>ing</it> away at the cliffs</vi></dt>
goad	<dt>:something that pains as if by pricking :<sx>thorn</sx></dt>  <dt>:something that urges or stimulates into action :<sx>spur</sx></dt> <dt>:a pointed rod used to urge on an animal</dt>
gobbed	
gormless	<dt>:lacking intelligence :<sx>stupid</sx></dt>
gorse	<dt>:a spiny yellow-flowered European shrub (<it>Ulex europaeus</it>) of the legume family</dt> <dt>:any of several related plants (genera <it>Ulex</it> and <it>Genista</it>)</dt>
gossamer	<dt>:a film of cobwebs floating in air in calm clear weather</dt> <dt>:something light, delicate, or insubstantial <vi>the <it>gossamer</it> of youth's dreams <aq>Andrea Parke</aq></vi></dt>
gown	<dt>:a loose flowing outer garment formerly worn by men</dt>  <dt>:a distinctive robe worn by a professional or academic person</dt>  <dt>:a woman's dress</dt>  <dt>:<sx>dressing gown</sx></dt>  <dt>:<sx>nightgown</sx></dt>  <dt>:a coverall worn in an operating room</dt> <dt>:the body of students and faculty of a college or university <vi>rivalry between town and <it>gown</it></vi></dt>
grandilo	
grayly	<dt>:of the color gray</dt>  <dt>:tending toward gray <vi>blue-<it>gray</it> eyes</vi></dt>  <dt>:dull in color</dt> <dt>:having the hair gray :<sx>hoary</sx></dt> <dt>:clothed in gray</dt> <dt>:lacking cheer or brightness in mood, outlook, style, or flavor</dt> <dt>:<sx>dismal</sx> <sx>gloomy</sx> <vi>a <it>gray</it> day</vi></dt>  <dt>:prosaically ordinary :<sx>dull</sx> <sx>uninteresting</sx></dt> <dt>:having an intermediate and often vaguely defined position, condition, or character <vi>an ethically <it>gray</it> area</vi></dt>
gregarious	<dt>:tending to <d_link>associate</d_link> with others of one's kind :<sx>social</sx></dt>  <dt>:marked by or indicating a liking for companionship :<sx>sociable</sx></dt>  <dt>:of or relating to a social group</dt> <dt>:growing in a cluster or a colony</dt>  <dt>:living in <d_link>contiguous</d_link> nests but not forming a true colony <un>used especially of wasps and bees</un></dt>
gris	<dt>Juan 1887&#8211;1927 <it>Jos&#233; Victoriano Gonz&#225;lez</it> Span. painter in France</dt>
gristle	<dt>:<sx>cartilage</sx></dt> <dt>:tough cartilaginous, tendinous, or fibrous matter especially in table meats</dt>
gristmill	<dt>:a mill for grinding grain</dt>
grit	<dt>:<sx>sand</sx> <sx>gravel</sx></dt>  <dt>:a hard sharp granule (as of sand)</dt> <dt>:material (as many abrasives) composed of such granules</dt> <dt>:any of several sandstones</dt> <dt>:the structure of a stone that adapts it to grinding</dt>  <dt>:the size of abrasive particles usually expressed as their mesh</dt> <dt>:firmness of mind or spirit :unyielding courage in the face of hardship or danger</dt> <dt>:a Liberal in Canadian politics</dt>
grope	<dt>:to feel about blindly or uncertainly in search <vi><it>grope</it> for the light switch</vi></dt> <dt>:to look for something blindly or uncertainly <vi><it>grope</it> for the right words</vi></dt> <dt>:to feel one's way</dt><dt>:<sx>feel up</sx></dt> <dt>:to find (as one's way) by <fw>groping</fw></dt>
grovel	<dt>:to creep with the face to the ground :<sx>crawl</sx></dt><dt>:to lie or creep with the body prostrate in token of subservience or abasement</dt> <dt>:to abase oneself</dt><dt>:to give oneself over to what is base or unworthy :<sx>wallow</sx> <vi><it>grovel</it><it>ing</it> in self-pity</vi></dt>
grub	<dt>:to clear by digging up roots and stumps</dt> <dt>:to dig up by or as if by the roots</dt><dt>:to dig in the ground especially for something that is difficult to find or extract</dt>  <dt>:to search about <vi><it>grubbed</it> in the countryside for food <aq><it>Lamp</it></aq></vi></dt> <dt>:<sx>toil</sx> <sx>drudge</sx> <vi><it>grubbing</it> along at newspaper jobs <aq>Walter Kirn</aq></vi></dt>
gruel	<dt>:a thin porridge</dt> <dt>:<sx>punishment</sx></dt> <dt>:something that lacks substance or significance <vi>the argument was thin <it>gruel</it></vi></dt>
gruff	<dt>:rough, brusque, or stern in manner, speech, or aspect <vi>a <it>gruff</it> reply</vi></dt> <dt>:being deep and harsh :<sx>hoarse</sx> <vi>a <it>gruff</it> voice</vi></dt>
gully	<dt>:a large knife</dt>
gunwale	<dt>:the upper edge of a ship's or boat's side</dt><dt>:as full as possible</dt>
gurgled	<dt>:to flow in a broken irregular current <vi>the brook <it>gurgling</it> over the rocks</vi></dt> <dt>:to make a sound like that of a <fw>gurgling</fw> liquid <vi>the baby <it>gurgling</it> in his crib</vi></dt>
gurney	<dt>:a wheeled cot or stretcher</dt>
guttering	<dt>:material for <fw>gutters</fw></dt> <dt>:<sx>gutter <sxn>1a</sxn></sx></dt>
